epoch,train_mse,val_mse
1,3.941166411912697,3.953520154729136
2,3.2545372204069665,3.614363630053023
3,3.0994871691237362,3.527827518087038
4,3.011470522045853,3.4402053188270245
5,2.9532870588290576,3.4498154926747784
6,2.903180526315962,3.475634628618267
7,2.86767600011198,3.372953193288454
8,2.8356630811180663,3.4266948767111334
9,2.8089199648132106,3.383226945366658
10,2.784019921692896,3.34392374334201
11,2.766878522665238,3.451679502854325
12,2.7479809434731544,3.340595265509377
13,2.73359534807929,3.3525756021060853
14,2.719275877951544,3.422240803499177
