epoch,train_mse_pca,val_mse_pca
1,407.72039487115734,423.3203509863663
2,389.03719023272345,406.95785185749094
3,371.3564005091574,390.5873799272997
4,354.56208895697245,375.752969297749
5,338.834362780783,361.2057213043914
6,323.810357464353,348.0325817037933
7,309.5813668918706,335.1580626728612
8,296.1946102429422,323.3304273951492
9,283.532941079144,311.84080842210085
10,271.4383403629675,300.954074839933
11,260.0356820289731,290.87913073738713
12,249.1758048019681,281.9726515821299
13,238.91050557034774,273.06714633248833
14,229.02278433642508,264.7625692758999
15,219.64399879654147,256.7102105205846
16,210.78380784244106,249.1641415149153
17,202.46080349518905,242.17566703489956
18,194.4925318867518,235.72741645668708
19,186.91872745315453,229.25551482113198
20,179.70167558509377,223.33593001005278
21,172.85885136324245,217.10388065213795
22,166.38331545315015,211.74943800136097
23,160.15145692023012,206.91321262656427
24,154.24243946946535,201.68394056399376
25,148.62558867109274,196.8042529360199
26,143.3010967607313,192.10853294334208
27,138.21418106583428,188.07818498444544
28,133.40635465661316,184.17912303631653
29,128.77696250790336,180.32968816468951
30,124.39668240624862,176.8402063045105
31,120.22163654102066,173.29303989657507
