epoch,train_mse_pca,val_mse_pca
1,407.7364628703995,423.15477933416776
2,389.06841861676673,406.8660293208042
3,371.3942938246424,390.5180102057138
4,354.58916474639705,375.5976271586375
5,338.84909243126845,360.9458845781993
6,323.8199456472237,347.7432370095501
7,309.58131216237445,334.9732354338955
8,296.23572963789246,323.09923843342716
9,283.572680486152,311.6405830262204
10,271.48955505148695,300.8249853270734
11,260.07806183287033,290.7068239618125
12,249.21655728084153,281.85974825175424
13,238.94045596124155,272.82852785405885
14,229.05285681605275,264.49615162051117
15,219.71816748431482,256.39021915064365
16,210.87010389736702,248.92504214116417
17,202.52323304046107,241.94586517466635
18,194.55203238352794,235.5633961398217
19,186.97876073795382,229.11922968276463
20,179.80036255967906,223.1903014449513
21,172.94666110097072,216.95065950339395
22,166.4565992407227,211.50317364579584
23,160.25745323593105,206.37221224696955
24,154.3607147706652,201.2667930898918
25,148.76880435810892,196.51557066635962
26,143.42847624128657,191.76445099070037
27,138.3351162965028,187.77856471141038
28,133.51344965794215,183.78371447378706
29,128.9088162802143,180.1185257895798
30,124.53753459713872,176.28525890845626
31,120.34840126054904,172.7374888983646
